Random Insertion Length, Percent Correct, Average Position
0,85.3,0.244
1,83.1,0.284
2,78.7,0.368
3,74.7,0.429
4,68.5,0.598
5,61.1,0.805
6,54.1,1.163
7,45.6,1.459
8,38.3,2.08
9,33.8,2.714
10,29.2,3.499
11,24,4.336
12,17.5,5.719
13,15.7,6.714
14,13.1,8.252
15,12.6,9.98
16,9,12.402
17,6.8,14.509
18,6.9,17.407
19,5.8,21.016
20,4.6,22.848
21,3.7,26.888
22,3.6,29.962
23,2.9,34.375
24,2.3,38.153
25,2.4,42.751
26,1.9,46.885
27,1.7,51.697
28,1.8,57.365
29,1,61.106
30,1.1,65.872
31,1.6,75.847
32,0.7,80.803
33,1.3,85.612
34,0.9,91.819
35,0.9,100.779
36,0.8,105.52
37,0.5,114.415
38,0.6,119.347
39,0.7,126.618
40,0.4,133.14
41,0.4,142.254
42,0.5,146.094
43,0.2,156.773
44,0.5,163.457
45,0.2,170.895
46,0.4,176.2
47,0.4,188.826
48,0.5,192.309
49,0.3,199.361
